images saved: 1200
split (location-grouped): {'train': 735, 'val': 232, 'test': 233}
REJECT bobcat 596a4e0e-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 58823cc8-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 59942111-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 5a24a7e6-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 596ef0a8-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 59f9461f-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 58782b4f-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 58adc4ac-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 586addcf-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 5987b4d5-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 59a94d82-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 597feeb8-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 598dea37-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 59d752da-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 5950041a-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 59cb3750-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 58ef7025-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 59e77e30-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 585da95f-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 58a1cc11-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 59d75420-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 59817b7d-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 5a230ef5-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 5a231060-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 595defb8-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 598de82e-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 59baca5f-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 58e40eeb-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 588f6632-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 5a07ce8a-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 5a2c8786-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 59a7bce5-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 59973e31-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 5a015bcf-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 5a0b021c-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT coyote 596293a5-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT raccoon 59ac69e3-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT raccoon 586c8905-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT raccoon 59500409-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT opossum 5a0b0051-23d2-11e8-a6a3-ec086b02610b URLError: <urlopen error [Errno 104] Connection reset by peer>
REJECT opossum 59b48334-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT rabbit 5906eff8-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT rabbit 59ec53d2-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT rabbit 5976a49e-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT rabbit 5968bf72-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT rabbit 597fed86-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT rabbit 59fe2161-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT rabbit 58643544-23d2-11e8-a6a3-ec086b02610b URLError: <urlopen error [Errno 104] Connection reset by peer>
REJECT rabbit 58a52db3-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT rabbit 58ac0cdc-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT rabbit 59e10472-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT rabbit 59f2c47f-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT rabbit 59d27e36-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT rabbit 588dbb9a-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT rabbit 59bfdce2-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT rabbit 5891105c-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT rabbit 59da8afe-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT rabbit 58b666bd-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT rabbit 58e0f577-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 5874d710-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 58629315-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 58b9d7d7-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 58af751d-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 5858c208-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 5a1fe7da-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 5a24a7e8-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 59e2a3ea-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 598c5ae6-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 5a296690-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 594b5cdc-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 58af7684-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 587eea62-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 58c1c0be-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 58df6820-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 58b82195-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 59894229-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 59e91c2b-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 5a07cd2f-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 5995ae72-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 59594f93-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 5914f0f9-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 58ec5793-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 593a505c-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 59df5d80-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 59f94791-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 5a197b3b-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 595defd4-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 593289ed-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 5946b8ae-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 58d93201-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 598ace85-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 5a116d3a-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 5971f87a-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 59531d75-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 5883e7cd-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 59452d21-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 587d419f-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 5976a2dc-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 597fef85-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 597ff021-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 595f7bad-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 59452c70-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT deer 5858bf9d-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
